wind_speed,wind_direction,rpm,temperature,humidity,flap_angle,power
10.034,9.0,1029.1,21.88,52.28,31.77,88.688
3.956,151.89,613.24,15.74,52.03,10.97,6.174
10.149,196.18,1041.15,20.51,72.41,29.17,114.628
10.68,122.49,1070.5,18.89,92.65,7.9,6.205
12.322,217.34,1122.43,35.18,80.14,16.36,39.312
9.072,298.59,932.41,30.46,87.39,6.37,5.15
5.507,104.18,740.72,16.99,52.8,24.07,13.352
7.013,133.27,860.2,20.24,54.68,23.27,36.045
4.883,262.49,717.67,19.09,60.87,21.71,9.935
10.531,303.43,1087.42,34.4,52.6,13.03,25.714
5.321,339.45,697.77,36.91,57.31,32.44,2.324
8.047,95.36,894.57,21.17,70.88,31.93,27.413
7.393,78.96,859.29,39.94,68.02,8.29,10.446
9.902,285.15,962.02,25.55,43.49,20.87,85.14
13.682,309.88,1267.46,15.29,79.64,13.0,11.022
10.051,40.16,1082.37,25.87,64.95,12.9,26.229
8.506,64.31,917.74,37.82,87.88,23.27,68.125
4.681,274.5,667.49,28.48,82.82,14.72,10.761
3.214,334.48,565.52,36.97,85.74,31.34,0.452
13.416,30.84,1265.15,27.15,43.81,8.85,2.23
8.228,197.93,894.24,21.63,87.98,21.18,64.0
11.029,72.41,1084.19,22.79,94.73,20.53,91.641
4.331,80.89,646.71,23.45,72.36,7.13,5.102
9.942,82.42,1042.7,37.64,87.28,25.07,102.353
5.357,47.63,671.08,38.39,71.41,29.22,5.544
5.095,34.9,656.89,25.78,63.3,25.2,8.969
13.826,35.43,1302.36,25.07,58.66,10.71,4.855
7.935,151.88,913.53,21.96,53.74,30.84,31.205
9.054,18.21,1021.67,39.98,85.98,30.46,57.048
4.829,174.83,701.17,20.34,62.06,34.56,1.098
5.917,282.27,831.5,26.38,63.27,21.67,18.215
10.902,55.73,1063.91,22.42,93.28,27.44,141.673
3.629,210.3,631.71,27.57,86.9,7.4,4.625
5.044,214.21,731.34,31.88,52.94,12.39,12.698
9.54,222.98,940.89,25.48,72.1,11.13,18.137
10.878,85.93,1082.98,24.89,76.94,27.56,142.268
3.798,164.98,623.77,39.96,94.79,12.96,6.111
13.266,317.11,1278.02,36.98,60.32,26.11,202.694
9.728,355.4,1020.17,31.35,40.43,24.9,106.192
13.328,48.34,1237.49,17.89,45.89,23.14,138.28
10.894,73.3,1036.63,30.86,54.52,30.38,125.587
4.015,152.49,627.75,21.92,40.2,12.86,6.553
11.154,198.6,1154.56,25.69,40.53,32.12,140.855
9.001,300.45,977.04,29.56,48.15,31.97,50.031
11.757,309.85,1149.53,37.47,51.55,28.4,181.802
12.725,146.3,1260.55,30.52,48.5,34.29,205.12
11.918,317.31,1131.93,15.62,80.51,29.07,196.368
12.505,291.87,1239.77,21.67,83.31,30.76,215.596
5.447,293.97,725.43,26.51,56.79,5.71,5.019
5.124,118.17,691.94,36.61,93.18,16.99,15.254
13.793,193.04,1303.31,38.48,46.34,33.88,296.496
5.92,39.02,739.27,25.86,80.07,20.34,24.255
7.237,207.57,899.11,21.37,78.98,21.15,41.698
10.914,267.1,1125.56,31.77,60.03,14.91,35.424
6.453,305.29,779.49,32.99,56.52,17.07,29.056
6.252,45.82,751.35,25.51,91.72,23.47,22.965
6.31,197.26,749.33,15.01,55.78,24.64,22.953
8.115,159.18,938.07,20.34,66.03,10.09,16.066
3.933,185.56,634.81,30.82,58.44,25.18,2.285
5.471,71.69,673.95,15.61,53.47,7.18,6.736
7.559,226.72,845.32,19.86,78.3,24.68,45.382
3.061,270.35,544.29,34.25,45.86,33.74,0.24
8.698,18.08,898.15,21.23,86.66,25.03,73.875
13.867,214.36,1262.67,38.75,89.03,20.14,73.054
12.136,197.23,1156.15,37.43,80.9,12.42,16.285
10.014,275.69,1029.43,28.03,74.47,13.57,30.072
5.989,115.1,761.76,28.5,47.61,26.19,15.964
3.707,146.74,609.04,28.57,62.87,32.15,0.969
9.425,250.39,988.91,36.42,82.11,15.55,43.262
11.288,307.24,1117.11,38.84,63.05,23.1,123.433
5.426,78.99,699.54,25.9,41.6,17.13,18.026
4.815,168.26,702.12,18.19,74.22,21.93,10.357
3.298,231.39,597.47,18.39,65.39,11.35,3.951
6.595,274.04,807.87,24.48,81.36,7.46,8.272
3.213,194.19,542.91,40.0,59.25,24.55,0.718
11.297,341.86,1125.64,19.98,41.12,25.08,156.398
9.204,78.47,992.73,32.49,82.18,27.44,79.787
4.26,294.95,661.01,39.12,45.95,25.32,3.885
13.54,142.8,1257.91,32.88,44.18,8.06,1.405
11.497,306.11,1175.27,30.01,46.66,15.42,38.025
7.712,133.41,901.64,27.65,58.77,8.17,10.115
13.569,228.81,1235.29,35.72,78.9,33.96,270.597
5.971,290.95,718.78,28.45,66.59,13.05,17.878
12.369,299.06,1192.16,17.17,88.49,23.31,142.49
7.169,10.33,848.02,36.27,50.0,15.21,33.607
12.684,252.43,1222.5,21.91,40.56,26.6,193.497
8.374,272.94,875.16,32.27,75.52,7.79,8.62
5.438,249.04,689.43,22.66,71.99,17.77,17.703
11.205,119.08,1111.85,32.57,54.9,10.78,12.838
4.315,192.91,649.46,34.05,50.18,26.74,3.992
13.743,188.87,1290.68,22.07,45.53,10.38,5.127
3.156,192.29,528.08,21.86,93.59,8.79,2.678
12.553,176.72,1177.16,36.82,71.57,10.53,7.984
3.565,338.78,584.47,26.94,85.22,23.88,2.643
3.59,53.71,606.64,29.07,56.71,27.93,1.146
9.669,284.67,981.79,20.64,68.74,30.8,77.188
13.89,109.94,1290.77,30.53,73.53,11.23,4.48
5.321,237.75,713.48,18.93,49.56,18.52,16.816
9.532,104.85,990.16,20.79,78.88,25.62,92.696
13.163,283.62,1269.14,30.63,76.37,21.34,99.63
10.124,327.03,1049.24,35.67,43.93,27.47,118.527
9.261,103.9,961.2,18.11,77.88,20.01,68.256
8.432,28.96,915.03,16.0,63.76,7.74,9.814
13.581,300.95,1310.85,29.38,92.29,13.09,11.926
3.443,272.26,597.77,26.76,75.83,22.56,2.289
9.983,177.02,1010.21,17.28,59.14,30.73,98.316
6.628,249.72,812.98,22.21,91.99,18.64,30.728
6.46,116.38,715.13,39.25,62.23,24.73,20.953
8.969,148.77,961.28,19.69,59.9,27.8,72.995
5.239,197.72,702.2,38.19,64.1,34.19,1.344
9.698,86.15,998.97,18.96,70.3,34.77,47.063
13.042,166.12,1197.17,17.94,85.77,20.27,87.867
6.008,300.5,735.19,39.51,53.41,32.66,4.585
8.591,316.56,940.6,36.6,55.19,33.03,32.628
8.585,295.4,854.92,22.07,56.42,19.69,53.551
4.635,193.89,638.61,23.63,70.36,14.65,11.272
5.075,251.1,696.31,29.29,52.85,27.34,5.913
10.758,292.11,1111.74,24.65,76.5,19.86,81.574
3.407,180.82,600.64,29.75,87.83,20.78,2.807
8.026,260.08,911.7,25.25,76.01,34.08,18.798
6.724,249.37,836.93,31.25,86.85,16.4,28.219
6.483,258.74,800.04,33.99,87.98,23.93,24.943
13.13,359.07,1271.72,33.67,63.87,31.18,264.018
7.88,249.84,891.83,37.59,42.53,16.25,38.699
4.601,191.22,667.77,29.15,83.59,31.13,2.008
9.817,86.7,998.97,37.82,47.87,12.66,24.051
3.103,289.67,575.78,37.53,77.27,15.37,3.577
9.463,230.02,1002.9,25.61,53.76,16.54,52.975
8.315,85.39,936.33,29.3,71.61,34.34,20.852
10.241,98.81,1046.09,29.15,77.72,23.19,106.05
8.464,325.5,907.33,22.15,83.94,24.1,68.882
9.83,244.0,1036.96,33.02,76.25,32.1,72.278
